"SYMBOL 
","SERIES 
","ISIN 
","COUPON RATE 
","FACE VALUE 
","LTP 
","%CHNG 
","VOLUME 
(Shares)","VALUE 
 (₹ Crores)","CREDIT RATING AGENCY 
","CREDIT RATING 
","MATURITY DATE 
"
769NHAI31,NE,INE906B07EP5,7.69,"1,000.00","1,158.00",0.43,"4,993",0.58,,,09-Mar-31
96IIFL28,N5,INE477L08154,9.6,"1,000.00","1,002.93",0.24,"2,649",0.27,"CRISIL, BRCK","AA/Stable, AA+/Negative",03-Nov-28
82HUDCO27,N2,INE031A07840,8.2,"1,000.00","1,052.50",-0.33,"1,775",0.19,,,05-Mar-27
901NHB34,N6,INE557F07132,9.01,"5,000.00","6,393.00",0.3,272,0.17,,,13-Jan-34
9IIFL28,Y0,INE530B07377,9,"1,000.00","1,033.00",-1.05,"1,540",0.16,CRISIL,AA/Stable,28-Jun-28
865IIFL28,NS,INE530B07310,8.65,"1,000.00",995,-,"1,355",0.13,"CRISIL, ICRA","AA/Stable, AA/Stable",24-Jan-28
830NHAI27,N2,INE906B07CB9,8.3,"1,000.00","1,088.50",0.1,"1,120",0.12,,,25-Jan-27
932AEL27,N3,INE423A07310,9.32,"1,000.00","1,010.00",-2.13,"1,142",0.12,CARE,A+/,12-Sep-27
96IIFL28A,NF,INE530B08102,9.6,"1,000.00","1,002.99",0.08,"1,145",0.11,CRISIL,AA/Negative,24-Jun-28
875NHAI29,N6,INE906B07DF8,8.75,"1,000.00","1,116.41",0.04,"1,005",0.11,,,05-Feb-29
10IIFL28A,NE,INE530B08094,10,"1,000.00","1,048.98",0.67,944,0.1,CRISIL,AA/Negative,24-Jun-28
81TCHF28,N8,INE033L07GS6,8.1,"1,000.00","1,018.99",-,698,0.07,"CRISIL, ICRA","AAA/Stable, AAA/Stable",14-Jan-28
865IRFC29,NA,INE053F07686,8.65,"1,000.00","1,105.00",-0.44,640,0.07,,,18-Feb-29
892NHPC33,N6,INE848E07567,8.92,"1,000.00","1,265.00",0.16,550,0.07,,,02-Nov-33
743REC35,NH,INE020B07JU4,,"1,000.00","1,210.00",0.83,480,0.06,,,05-Nov-35
965AEL27,N4,INE423A07328,9.65,"1,000.00","1,011.00",-0.1,548,0.06,CARE,A+/,12-Sep-27
76NHAI31,NA,INE906B07EJ8,7.6,"1,000.00","1,109.00",0.05,479,0.05,,,11-Jan-31
890AEL31,NN,INE423A07526,8.9,"1,000.00","1,058.00",0.05,500,0.05,"CARE, ICRA","AA-/Stable, AA-/Stable",12-Jan-31
753IRFC30,NJ,INE053F07835,7.53,"1,000.00","1,135.99",0.16,449,0.05,CRISIL,AAA/Stable/,21-Dec-30
901HUDCO34,NE,INE031A07AB2,,"1,000.00","1,282.00",0.08,395,0.05,,,13-Jan-34
11VCCL27,N0,INE04HY07369,11,"1,00,000.00","99,000.00",-0.5,5,0.05,IVRPL,A-/Stable,27-May-27
10MWL29,N0,INE0JYY07026,10,"1,00,000.00","97,090.00",-2.36,5,0.05,ACUITE,A+/Stable,28-Apr-29
118VCCL27A,N0,INE04HY07302,11.8,"1,00,000.00","96,000.00",-,5,0.05,IVRPL,A-/Stable,21-Aug-27
751HUDCO28,N5,INE031A07865,7.51,"1,000.00","1,068.05",0.1,440,0.05,,,16-Feb-28
1065NFL27,NC,INE342T07460,10.65,"1,000.00","1,001.00",-,467,0.05,CRISIL,A/Stable,13-Mar-27
IMC1,N3,INE00QS24035,8.25,250,252,0.76,"1,771",0.04,"CARE, ICRA","AA/Stable, AA+/Stable",20-Feb-32
930AEL30,NF,INE423A07393,9.3,"1,000.00","1,044.00",0.72,426,0.04,"CARE, ICRA","AA-/Stable, AA-/Stable",17-Jul-30
843IHFL29,NC,INE477L07AQ2,8.43,"1,000.00",981,-0.41,415,0.04,"BRCK, CRISIL","AA+/Negative, AA/Stable",03-Jan-29
89IHFL29,N1,INE477L07BG1,8.9,"1,000.00",985,0.61,365,0.04,CRISIL,AA/Stable,26-Dec-29
891NTPC33,N6,INE733E07JJ9,8.91,"1,000.00","1,276.05",-0.13,271,0.03,,,16-Dec-33
930APMD31,N0,INE0TLC07051,9.3,"1,00,000.00","1,03,730.01",-0.26,3,0.03,"SMERA, INDIA RATING","AA/Stable, AA/Stable",09-May-31
IHF261224,N1,INE477L07BD8,0,"1,000.00","1,130.00",1.89,264,0.03,CRISIL,AA/Stable,26-Dec-27
12VCCL29B,N0,INE04HY07229,12,"1,00,000.00","99,000.00",-0.98,3,0.03,IVRPL,IVR A-/Stable,04-Apr-29
820IIFL27,N9,INE477L07AN9,8.2,"1,000.00",998,0.55,295,0.03,"CRISIL, BRCK","AA/Stable, AA+/Negative",03-Jan-27
879SCL30,N0,INE148I07YI2,8.7923,"1,00,000.00","98,000.00",-,3,0.03,"CRISIL, ICRA","AA/Stable, AA/Stable",09-Dec-30
905LTF27,NF,INE027E07AL1,9.05,"1,000.00","1,037.25",-0.24,273,0.03,"ICRA, FICH, CARE","AA/, AA/, AA/",15-Apr-27
