"SYMBOL 
","SERIES 
","ISIN 
","FACE VALUE 
","OPEN 
","HIGH 
","LOW 
","LTP 
","PREV.CLOSE 
","%CHNG 
","VOLUME 
","VALUE 
 (₹ Crores)"
"716GS2050","GS","IN0020200054","100.00","101.23","101.23","101.23","101.23","97.21","4.14",1,"-"
"795GS2032","GS","IN0020020106","100.00","107.00","107.50","107.00","107.50","105.00","2.38",368,"-"
"897GS2030","GS","IN0020110055","100.00","111.60","112.18","111.60","112.18","109.66","2.30",50,"-"
"781RJ49","SG","IN2920260048","100.00","97.00","97.00","97.00","97.00","95.06","2.04",100,"-"
"699GS2051","GS","IN0020210194","100.00","96.00","96.00","96.00","96.00","94.50","1.59",1,"-"
"364D070127","TB","IN002025Z401","100.00","97.60","97.60","97.60","97.60","96.17","1.49",900,"0.01"
"732GS2030","GS","IN0020230135","100.00","104.00","105.32","103.80","105.32","103.80","1.46",650,"0.01"
"667GS2050","GS","IN0020200252","100.00","90.52","93.50","90.52","93.50","92.65","0.92",2,"-"
"717GS2030","GS","IN0020230036","100.00","103.50","104.00","103.50","104.00","103.46","0.52",4301,"0.04"
"772UP36A","SG","IN3320260026","100.00","99.50","99.50","99.50","99.50","99.00","0.51",400,"-"
"709GS2074","GS","IN0020240142","100.00","95.27","95.27","94.61","95.24","94.77","0.50",2109,"0.02"
"706GS2046","GS","IN0020160068","100.00","101.50","101.50","101.50","101.50","101.00","0.50",1,"-"
"364D170926","TB","IN002025Z252","100.00","99.70","99.70","99.70","99.70","99.21","0.49",130000,"1.30"
"710GS2029","GS","IN0020220011","100.00","104.40","104.80","104.40","104.80","104.40","0.38",2557700,"26.80"
"668GS2040","GS","IN0020250042","100.00","98.20","98.20","98.20","98.20","97.86","0.35",2000000,"19.64"
"92GS2030","GS","IN0020130053","100.00","115.00","115.00","114.45","114.45","114.06","0.34",22755,"0.26"
"738GS2027","GS","IN0020220037","100.00","102.75","102.75","102.52","102.75","102.57","0.18",9509,"0.10"
"364D150127","TB","IN002025Z419","100.00","-","-","-","96.65","96.57","0.08",0,"-"
"737CG31","SG","IN3520260016","100.00","100.50","100.50","97.21","97.21","97.13","0.08",900,"0.01"
"725GS2063","GS","IN0020230044","100.00","97.20","97.20","96.41","96.82","96.75","0.07",125108,"1.21"
"577GS2030","GS","IN0020200153","100.00","-","-","-","97.00","96.94","0.06",0,"-"
"91D081026","TB","IN002026X149","100.00","99.48","99.48","99.48","99.48","99.42","0.06",100,"-"
"91D221026","TB","IN002026X164","100.00","99.21","99.21","99.21","99.21","99.16","0.05",500,"-"
"771GS2066","GS","IN0020260033","100.00","103.00","103.00","102.00","102.99","102.94","0.05",86059,"0.89"
"828GS2032","GS","IN0020060086","100.00","107.65","107.65","107.65","107.65","107.60","0.05",1009,"0.01"
"706GS2028","GS","IN0020230010","100.00","103.59","103.59","103.59","103.59","103.56","0.03",100,"-"
"739TN34A","SG","IN3120260077","100.00","92.57","92.57","92.57","92.57","92.56","0.01",100,"-"
"182D260227","TB","IN002026Y212","100.00","-","-","-","96.51","96.50","0.01",0,"-"
"579GS2030","GS","IN0020200070","100.00","-","-","-","99.50","99.50","-",0,"-"
"695RJ31","SG","IN2920200655","100.00","-","-","-","100.95","100.95","-",0,"-"
"695TN31","SG","IN3120200362","100.00","-","-","-","96.70","96.70","-",0,"-"
"695TN31B","SG","IN3120210189","100.00","-","-","-","-","100.00","-",0,"-"
"696GA31","SG","IN1420210040","100.00","-","-","-","-","100.00","-",0,"-"
"696TN51","SG","IN3120210023","100.00","-","-","-","-","100.00","-",0,"-"
"696TN56","SG","IN3120210031","100.00","-","-","-","91.60","91.60","-",0,"-"
"696TS45","SG","IN4520210191","100.00","-","-","-","-","100.00","-",0,"-"
"697GR2034","GS","IN0020240100","100.00","98.00","98.00","98.00","98.00","98.00","-",221,"-"
"697KA31","SG","IN1920200285","100.00","-","-","-","-","100.00","-",0,"-"
"697RJ51A","SG","IN2920200713","100.00","-","-","-","-","100.00","-",0,"-"
"697TN31A","SG","IN3120210148","100.00","-","-","-","99.77","99.77","-",0,"-"
"697TN31B","SG","IN3120210171","100.00","-","-","-","-","100.00","-",0,"-"
